n_players,n_passes_completed,pass_attempts,completion_rate,density_dir,reciprocity,mean_out_deg,mean_in_deg,global_clustering,assortativity,n_communities,modularity,mean_deg_cent,max_deg_cent,mean_betw,max_betw,mean_close,max_close,mean_eigen,max_eigen,algebraic_conn,spectral_gap,mean_pass_len,forward_ratio,mean_progression,mean_start_x,mean_end_x,side_bias,lateral_ratio,pct_pass_by_DEF,pct_pass_by_GK,pct_pass_by_MID,pct_pass_by_FWD,team_id,team,cluster,proto
18,1091,1091,1.0,0.6111111111111112,0.7914438502673797,60.611111111111114,60.611111111111114,0.806290207290922,-0.24029241824921652,3,0.11712276344829502,0.7385620915032679,1.0,0.07073801742919389,0.32861519607843137,0.8095402648034227,1.0,0.1869285861471432,0.47308445107799374,0.6905684318147078,0.07369350427421462,20.306097632246175,0.39780018331805683,4.565536205316223,57.648029330889095,62.213565536205316,0.02761228230980759,0.6748592843988864,0.0,0.0,1.0,0.0,799,Saudi Arabia,2,balanced
17,1110,1110,1.0,0.7205882352941176,0.8367346938775511,65.29411764705883,65.29411764705883,0.8784982935153584,-0.20088338912940207,3,0.10512012012012006,0.8382352941176471,1.0,0.07600490196078431,0.30652777777777773,0.8738379573124175,1.0,0.21530665594523915,0.3983639585717293,0.7370433545899119,0.03576298851149362,22.277527009767073,0.4972972972972973,7.728828828828829,63.0990990990991,70.82792792792793,0.058581081081081086,0.5824132338452988,0.0,0.0,1.0,0.0,796,Russia,1,direct-counter-high-connectivity
16,868,868,1.0,0.6708333333333333,0.8322981366459627,54.25,54.25,0.8795955882352942,-0.19691723444655632,3,0.03287723778377109,0.7833333333333333,0.9333333333333333,0.07006944444444446,0.25388888888888894,0.8378599893855594,0.9375,0.21153851087435377,0.4293037004527299,0.7898435654685801,0.06587808507631587,21.723777227256672,0.4861751152073733,6.600230414746544,57.104838709677416,63.705069124423964,0.07980990783410143,0.6224795106872449,0.0,0.0,1.0,0.0,775,Nigeria,0,direct-counter
15,1340,1340,1.0,0.6904761904761905,0.8413793103448276,89.33333333333333,89.33333333333333,0.8921568627450981,-0.20504385964911326,3,0.051879037647583025,0.7999999999999999,1.0,0.08815628815628815,0.5531135531135531,0.8518996145466733,1.0,0.21791578236778625,0.4162277457359172,0.7666078962412145,0.06760283752783391,21.315340868868528,0.48208955223880595,5.95820895522388,58.02388059701492,63.982089552238804,0.05042910447761191,0.6398727170032362,0.0,0.0,1.0,0.0,785,Croatia,3,high-connectivity
14,930,930,1.0,0.7252747252747253,0.8484848484848485,66.42857142857143,66.42857142857143,0.854381443298969,-0.3170631665299388,2,0.1254243265117354,0.8351648351648352,1.0,0.07852564102564101,0.37927350427350426,0.8723732475446319,1.0,0.21932363709053168,0.5534060297334233,0.6462997337868018,0.1911276380257534,21.619779207325912,0.4774193548387097,5.778494623655914,52.8741935483871,58.652688172043014,-0.07354838709677428,0.6291285815640498,0.0,0.0,1.0,0.0,792,Australia,2,balanced
15,1716,1716,1.0,0.8476190476190476,0.8876404494382022,114.4,114.4,0.9405940594059405,-0.14429530201339355,3,0.05231595812889521,0.942857142857143,1.0,0.08846153846153845,0.37362637362637363,0.9483333333333335,1.0,0.2305579247052383,0.42549645485237003,0.7893886618400493,0.10196645757173539,20.526865309163888,0.49184149184149184,6.723776223776224,60.3513986013986,67.07517482517483,0.03988927738927739,0.6206695532985504,0.0,0.0,1.0,0.0,771,France,3,high-connectivity
16,522,522,1.0,0.6416666666666667,0.7792207792207793,32.625,32.625,0.8153409090909091,-0.25299920021327144,2,0.07913125174322166,0.7833333333333333,1.0,0.068234126984127,0.22063492063492066,0.8357912767379678,1.0,0.22071381361199105,0.43358216474697336,0.7233303193802495,0.03497367055911815,24.666971552809215,0.5747126436781609,12.503831417624522,60.08045977011494,72.58429118773947,0.010392720306513326,0.5817211668753587,0.0,0.0,1.0,0.0,793,Iceland,1,direct-counter-high-connectivity
18,1276,1276,1.0,0.6633986928104575,0.8472906403940886,70.88888888888889,70.88888888888889,0.8125,-0.2847217089215746,3,0.0722560091783689,0.7647058823529411,1.0,0.08244063829235398,0.5487453314659196,0.8273210168366538,1.0,0.20070953184559778,0.4734965862091938,0.7239876783017898,0.03360167118848367,19.402344140099565,0.3996865203761755,3.153605015673981,65.65047021943573,68.80407523510972,-0.052782131661441946,0.6868819649323494,0.0,0.0,1.0,0.0,779,Argentina,2,balanced
15,829,829,1.0,0.638095238095238,0.8059701492537313,55.266666666666666,55.266666666666666,0.8514970059880239,-0.22926431628285895,2,0.11788004499149496,0.7619047619047621,1.0,0.08538461538461538,0.35915750915750916,0.8259736886207475,1.0,0.22078063953532517,0.4395437462627164,0.6906817631595035,0.10396978011862812,21.949890897576346,0.45958986731001206,7.416164053075995,61.34258142340169,68.75874547647769,0.07322074788902296,0.6665242274841383,0.0,0.0,1.0,0.0,776,Denmark,2,balanced
15,924,924,1.0,0.7142857142857143,0.8,61.6,61.6,0.8832188420019627,-0.24635816716486097,3,0.11586938494406025,0.8571428571428571,1.0,0.07875457875457874,0.5695970695970697,0.8873196881091618,1.0,0.22960114285608527,0.41986697986570093,0.6952109425038355,0.02980207089534348,20.45561908757786,0.47943722943722944,6.152597402597403,61.853896103896105,68.00649350649351,-0.059280303030303114,0.6539927635027708,0.0,0.0,1.0,0.0,784,Peru,1,direct-counter-high-connectivity
